SCENE,KEY,SENTENCE,SPEAKER,SHOW,Sarcasm,Sarcasm_Type
1_10810,1_10810_c_03,It's kind of a dream come true.,LEONARD,BBT,,
1_10810,1_10810_c_04,That does sound fun.,HOWARD,BBT,,
1_10810,1_10810_c_05,"Ooh, maybe we could come up with a business plan to compete with this place.",RAJ,BBT,,
1_10810,1_10810_u,I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.,SHELDON,BBT,0,NONE
1_10829,1_10829_c_00,You would leave me out of the conversation with the next guy if you dump Leonard?,RAJ,BBT,,
1_10829,1_10829_c_01,Why say it? Yes!,PENNY,BBT,,
1_10829,1_10829_c_02,"Well, I would never leave you off my list, and not just because, without you, we're playing fast and loose with the word list.",RAJ,BBT,,
1_10829,1_10829_c_03,"Well, good job. Now she hates me.",PENNY,BBT,,
1_10829,1_10829_c_04,Great.,RAJ,BBT,,
1_10829,1_10829_u,"On the bright side, that Oxford study was right. One friend down. I wonder who you're going to lose next.",SHELDON,BBT,1,EMB
1_10849,1_10849_c_00,he used to... take me to the comic book store.,HOWARD,BBT,,
1_10849,1_10849_c_01,It was one of the few things we did together.,HOWARD,BBT,,
1_10849,1_10849_c_02,"Oh. Howie, I had no idea.",BERNADETTE,BBT,,
1_10849,1_10849_c_03,"Well, I don't... like to talk about it.",HOWARD,BBT,,
1_10849,1_10849_c_04,"Oh, baby. 
That story's made up, isn't it?",BERNADETTE,BBT,,
1_10849,1_10849_u,That's how much buying a comic book store means to me.,HOWARD,BBT,0,NONE
1_10853,1_10853_c_00,"Uh, listen, Penny, before you start, I just want to apologize for being so rude the other day in my office.",PERSON,BBT,,
1_10853,1_10853_c_01,"No, no. No need to apologize.",PENNY,BBT,,
1_10853,1_10853_c_02,"Excuse me, can I say something?",RAJ,BBT,,
1_10853,1_10853_c_03,"I just love both you guys, and I want you to get along.",RAJ,BBT,,
1_10853,1_10853_c_04,"And when I say love"" I meant as a friend.
And, uh, way too soon, right?",RAJ,BBT,,
1_10853,1_10853_u,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago. It was,",PENNY,BBT,0,NONE
1_10857,1_10857_c_00,"Okay, sit down. Listen, Emily, what happened between me and Raj was a long time ago.",PENNY,BBT,,
1_10857,1_10857_c_01,"It was, and I may have made it seem like a bigger deal than I should have.",RAJ,BBT,,
1_10857,1_10857_c_02,"Yeah, and Leonard and I are engaged now, and I'm just hoping we can put this whole thing behind us.",PENNY,BBT,,
1_10857,1_10857_c_03,"Mm. I'd like that, too.",PERSON,BBT,,
1_10857,1_10857_c_04,"Yeah, I thought I'd be okay with it, but then I saw how pretty you are.",PERSON,BBT,,
1_10857,1_10857_c_05,"Oh, that's so sweet.
I mean, look at you-- you are gorgeous.",PENNY,BBT,,
1_10857,1_10857_u,It's true-- you're both gorgeous. Kind of says something about the man who could bed you both.,RAJ,BBT,0,NONE
1_10859,1_10859_c_00,It's true-- you're both gorgeous.,RAJ,BBT,,
1_10859,1_10859_c_01,Kind of says something about the man who could bed you both.,RAJ,BBT,,
1_10859,1_10859_c_02,You get why I've been alone most of my adult life.,RAJ,BBT,,
1_10859,1_10859_c_03,"So, what brings you by? Well,",PERSON,BBT,,
1_10859,1_10859_u,I don't need a reason-- it's my house.,HOWARD,BBT,0,NONE
1_10890,1_10890_c_00,Robot girlfriend.,LEONARD,BBT,,
1_10890,1_10890_c_01,"Mm, that was mine.",HOWARD,BBT,,
1_10890,1_10890_c_02,Robot prostitute.,LEONARD,BBT,,
1_10890,1_10890_c_03,Also mine.,HOWARD,BBT,,
1_10890,1_10890_c_04,"Wait. I'm confused. 
Why would you need both a robot girlfriend and a robot prostitute?",SHELDON,BBT,,
1_10890,1_10890_c_05,There's just some things you don't do with your robot girlfriend.,HOWARD,BBT,,
1_10890,1_10890_u,"Boy, when you met Bernadette, the field of robotics really took a hit.",RAJ,BBT,1,PRO
1_10977,1_10977_c_00,Like what? Your incomplete set of <i>Star Trek</i> collector plates?,BERNADETTE,BBT,,
1_10977,1_10977_c_01,"For your information, I just bought the last one I needed on eBay.",HOWARD,BBT,,
1_10977,1_10977_c_02,Without asking me?,BERNADETTE,BBT,,
1_10977,1_10977_c_03,There were only three minutes left in the auction and it was a mint condition Scotty from a smoke-free home.,HOWARD,BBT,,
1_10977,1_10977_c_04,"How much, Howie?",BERNADETTE,BBT,,
1_10977,1_10977_c_05,Not a lot.,HOWARD,BBT,,
1_10977,1_10977_c_06,How much?,BERNADETTE,BBT,,
1_10977,1_10977_u,Let's not talk about this in front of our friends.,HOWARD,BBT,0,NONE
1_11006,1_11006_c_00,"Well, if I do well in sales, I could end up making a lot more money than you.",PENNY,BBT,,
1_11006,1_11006_c_01,"Not a problem. I grew up with a mother who emasculated my father financially and in every other aspect of his life, so...",LEONARD,BBT,,
1_11006,1_11006_c_02,"...really, it's what I think love looks like.",LEONARD,BBT,,
1_11006,1_11006_c_03,I'll be right back. I'm gonna go check on him.,BERNADETTE,BBT,,
1_11006,1_11006_u,Maybe it's a good thing we came here. It's like a lesson in what not to do.,PENNY,BBT,1,PRO
1_11021,1_11021_c_00,"So, what are you working on these days?",BERNADETTE,BBT,,
1_11021,1_11021_c_01,I'm studying one-celled organisms to try and find the neurochemicals that lead to the feeling of shame.,AMY,BBT,,
1_11021,1_11021_c_02,What would a one-celled organism have to be embarrassed about?,BERNADETTE,BBT,,
1_11021,1_11021_u,"Same as all of us, getting out of a car without underwear.",PENNY,BBT,1,PRO
1_11042,1_11042_c_00,"but since you seem to be okay with the article being canceled, I have a little confession.
I'm the reason it was pulled.",AMY,BBT,,
1_11042,1_11042_c_01,What? How?,BERNADETTE,BBT,,
1_11042,1_11042_c_02,I sent the editors of the magazine a pretty scathing e-mail.,AMY,BBT,,
1_11042,1_11042_c_03,"Amy, what did you say?",BERNADETTE,BBT,,
1_11042,1_11042_c_04,"I simply pointed out that they would never consider doing an article ranking male scientists on their sexuality, let alone showing them in various stages of undress.",AMY,BBT,,
1_11042,1_11042_u,"Because no one wants to see Neil deGrasse Tyson in a wet T-shirt, bent over the hood of a Porsche.",BERNADETTE,BBT,0,NONE
1_11046,1_11046_c_00,Red Zinger with one teaspoon of honey.,SHELDON,BBT,,
1_11046,1_11046_c_01,"Thank you.
Neat<i> Star Trek</i> mug.",PERSON,BBT,,
1_11046,1_11046_c_02,I actually have one of the phasers from the original TV show.,PERSON,BBT,,
1_11046,1_11046_c_03,"Oh, cool.
How'd you get that?",HOWARD,BBT,,
1_11046,1_11046_c_04,"Oh, easy, Gene Roddenberry needed a vasectomy.",PERSON,BBT,,
1_11046,1_11046_c_05,"Wait a minute.
You've snipped Gene Roddenberry's vas deferens?",SHELDON,BBT,,
1_11046,1_11046_c_06,Yes.,PERSON,BBT,,
1_11046,1_11046_u,"Wow, he really went where no man has gone before.",HOWARD,BBT,0,NONE
1_11051,1_11051_c_00,"Ooh.
He was so happy after he passed it, he gave me a Terminator.",PERSON,BBT,,
1_11051,1_11051_c_01,"That is amazing.
How long have you been collecting?",LEONARD,BBT,,
1_11051,1_11051_c_02,"Ever since I was a kid, but, uh, I didn't really get serious until William Shatner's bladder infection.",PERSON,BBT,,
1_11051,1_11051_c_03,What'd you get? What'd you get?,SHELDON,BBT,,
1_11051,1_11051_u,"Well, he said it was a tribble. It could be a toupee, but either way, it's pretty cool.",PERSON,BBT,0,NONE
1_11055,1_11055_c_00,A gallant man would defend his fiance for being called a urethra.,HOWARD,BBT,,
1_11055,1_11055_c_01,Can we please change the subject?,LEONARD,BBT,,
1_11055,1_11055_c_02,"Well, that didn't go your way.",RAJ,BBT,,
1_11055,1_11055_c_03,"Dr. Lorvis, what are you doing here?",PENNY,BBT,,
1_11055,1_11055_c_04,"Uh, well, actually I came to see you.",PERSON,BBT,,
1_11055,1_11055_c_05,Really? Why?,PENNY,BBT,,
1_11055,1_11055_u,"Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",LEONARD,BBT,1,PRO
1_11098,1_11098_c_00,"I don't suppose you also brought napkins, clean bowls, utensils and a roll of toilet paper.",PENNY,BBT,,
1_11098,1_11098_c_01,Right here.,BERNADETTE,BBT,,
1_11098,1_11098_c_02,You guys are the best.,PENNY,BBT,,
1_11098,1_11098_c_03,What's with the clothes?,AMY,BBT,,
1_11098,1_11098_c_04,"Well, with all the new stuff I bought for work, I needed to make room in my closet.",PENNY,BBT,,
1_11098,1_11098_c_05,"I meant why are they folded? 
But whatever.",AMY,BBT,,
1_11098,1_11098_c_06,"Ooh, what's this?",AMY,BBT,,
1_11098,1_11098_c_07,"That, believe it or not, is my prom dress.",PENNY,BBT,,
1_11098,1_11098_u,"Wow, you still have it? I just assumed it was balled up in the corner of a barn somewhere.",BERNADETTE,BBT,1,PRO
1_11120,1_11120_c_00,There's nothing weird going on with me and your mother.,PERSON1,BBT,,
1_11120,1_11120_c_01,"Stewie, your bath is getting cold!",PERSON2,BBT,,
1_11120,1_11120_c_02,"I got to go, bye.",PERSON1,BBT,,
1_11120,1_11120_c_03,"Penny?
Penny.
Penny.
Penny.
Penny.",SHELDON,BBT,,
1_11120,1_11120_c_04,You knocked more than usual.,PENNY,BBT,,
1_11120,1_11120_u,"Next time I might be in a rush, it's good to have a few in the bank.",SHELDON,BBT,0,NONE
1_11177,1_11177_c_00,"Okay, why?",LEONARD,BBT,,
1_11177,1_11177_u,I'm listening to you snore. I'm wondering how I'll ever sleep without it.,SHELDON,BBT,1,EMB
1_11201,1_11201_c_00,It's nice they're getting exercise.,AMY,BBT,,
1_11201,1_11201_c_01,"Although now that I think about it, Leonard would never go swimming in public without his swim shirt.",SHELDON,BBT,,
1_11201,1_11201_c_02,I'm sure he brought it.,AMY,BBT,,
1_11201,1_11201_c_03,"No, but last year, at Magic Mountain, he got such a bad sunburn, we had to cut him out of it.",SHELDON,BBT,,
1_11201,1_11201_u,"He probably got a new one. Finish your breakfast. Look, there's an entire section of my dashboard that doesn't have any syrup on it.",AMY,BBT,0,NONE
1_11224,1_11224_c_00,"You heard what he said about his parents. 
It was the little things they kept bottled up. 
I don't want that to happen to us.",BERNADETTE,BBT,,
1_11224,1_11224_c_01,How can I convince you it won't?,HOWARD,BBT,,
1_11224,1_11224_c_02,"Well, is there anything about me you're keeping inside?",BERNADETTE,BBT,,
1_11224,1_11224_c_03,"I'm not answering that. 
It's a trap.",HOWARD,BBT,,
1_11224,1_11224_c_04,So there<i> are</i> things you don't like.,BERNADETTE,BBT,,
1_11224,1_11224_u,And here I am in the trap. You just keep talking. I'm gonna chew my leg off.,HOWARD,BBT,1,EMB
1_11232,1_11232_c_00,And I love that you're strong and independent.,HOWARD,BBT,,
1_11232,1_11232_c_01,"And yet, I still love when you hold a door for me.",BERNADETTE,BBT,,
1_11232,1_11232_c_02,"I love that I'm kind of a slob around here, and...
you're okay with that.",HOWARD,BBT,,
1_11232,1_11232_c_03,Uh-huh.,BERNADETTE,BBT,,
1_11232,1_11232_u,"And I love that I work and do all the cleaning, and you're okay with that.",BERNADETTE,BBT,1,PRO
1_11236,1_11236_c_00,Wow. I don't know which hurts worse-- my nose or my heart.,SHELDON,BBT,,
1_11236,1_11236_c_01,"Well, I'm done speaking to you.",SHELDON,BBT,,
1_11236,1_11236_c_02,Don't be like that. You two need to talk this out.,AMY,BBT,,
1_11236,1_11236_c_03,"Yeah, 'cause you sound really funny.",PENNY,BBT,,
1_11236,1_11236_c_04,"Sheldon, I'm sorry I didn't tell you about the surgery, but you were worried about nothing.",LEONARD,BBT,,
1_11236,1_11236_u,"Oh, you're hardly out of the woods, no. You still run the risk of infection, a blood clot, the possibility that an inattentive surgeon let a barn spider lay eggs in your nose.",SHELDON,BBT,0,NONE
1_11242,1_11242_c_00,"I was not panicked, and I am not overly attached to Leonard.",SHELDON,BBT,,
1_11242,1_11242_c_01,"You were so worried that you smashed your face trying to check on me.
You love me.",LEONARD,BBT,,
1_11242,1_11242_c_02,Yeah. Tell me those aren't the words of a man with a spider eating its way through his brain.,SHELDON,BBT,,
1_11242,1_11242_c_03,"Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there.",SHELDON,BBT,,
1_11242,1_11242_u,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",BERNADETTE,BBT,1,EMB
1_11243,1_11243_c_00,Yeah. Tell me those aren't the words of a man with a spider eating its way through his brain.,SHELDON,BBT,,
1_11243,1_11243_c_01,"Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there.",SHELDON,BBT,,
1_11243,1_11243_c_02,"I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",BERNADETTE,BBT,,
1_11243,1_11243_u,I love that you're too good to pee in the kitchen sink.,HOWARD,BBT,1,PRO
1_11253,1_11253_c_00,"Who will stand between us and flag ignorance""""",SHELDON,BBT,,
1_11253,1_11253_c_01,"I know I was thinking that.
Is this a show on flags or mind reading?",AMY,BBT,,
1_11253,1_11253_c_02,"But the truth is I can no longer balance a full-time career, a popular Internet show, and a girlfriend.",SHELDON,BBT,,
1_11253,1_11253_c_03,"And he really does have one, you jerks on the comment board.",AMY,BBT,,
1_11253,1_11253_u,"So as they say, all good things must come to an end.",SHELDON,BBT,0,NONE
1_11257,1_11257_c_00,"You know, I thought cleaning out a dead professor's office was gonna just be boring, but then I found his dentures and realized it's also gross.",RAJ,BBT,,
1_11257,1_11257_u,Doesn't Professor Abbott's family want any of this stuff?,HOWARD,BBT,0,NONE
1_11306,1_11306_c_00,"Well, that's it.",LEONARD,BBT,,
1_11306,1_11306_c_01,That's the end of Roger Abbott.,LEONARD,BBT,,
1_11306,1_11306_c_02,And we still don't know who framed him.,RAJ,BBT,,
1_11306,1_11306_c_03,I still keep thinking about how an entire life can seemingly amount to nothing.,LEONARD,BBT,,
1_11306,1_11306_u,"I guess the sad truth is, not everyone will accomplish something great. Some of us may just have to find meaning in the little moments that make up life.",HOWARD,BBT,0,NONE
1_11322,1_11322_c_00,"Hey, how are things going with your parents?",PENNY,BBT,,
1_11322,1_11322_c_01,Not great. They hired divorce attorneys.,RAJ,BBT,,
1_11322,1_11322_c_02,"You know, speaking of attorneys, if I ever needed a lawyer, I would not hire She-Hulk.",SHELDON,BBT,,
1_11322,1_11322_u,"You know what? That was almost on topic. I'm gonna say, ""Good job, Sheldon.""",PENNY,BBT,1,PRO
1_11378,1_11378_c_00,"Okay. On the count of three, I'll shoot the fire extinguisher and get him airborne.",LEONARD,BBT,,
1_11378,1_11378_c_01,"Howard, you wave the blanket and guide him towards the exit.",LEONARD,BBT,,
1_11378,1_11378_c_02,"Raj, you hold open the curtain so he can fly out.",LEONARD,BBT,,
1_11378,1_11378_u,Are you sure a dummy like me can handle something as complicated as a blanket?,HOWARD,BBT,1,LIK
1_11439,1_11439_c_00,This isn't so bad.,LEONARD,BBT,,
1_11439,1_11439_c_01,"That's easy for you to say. 
Your chair's not facing the lingerie section.",SHELDON,BBT,,
1_11439,1_11439_c_02,"Boy, that's a lot of panties.",SHELDON,BBT,,
1_11439,1_11439_c_03,You guys comfy? This might take a while.,AMY,BBT,,
1_11439,1_11439_c_04,"You know, I don't understand why women insist on making a big production out of buying clothes.",SHELDON,BBT,,
1_11439,1_11439_u,"No, you're right, we should do what you do. Have our mom send us pants from the Walmart in Houston.",PENNY,BBT,1,PRO
1_1144,1_1144_c_00,Are you saying that you've been holding back?,HOWARD,BBT,,
1_1144,1_1144_c_01,Of course. Out of respect.,LEONARD,BBT,,
1_1144,1_1144_c_02,"So, how do you explain the ten years before Penny?",HOWARD,BBT,,
1_1144,1_1144_c_03,Who were you respecting then?,RAJ,BBT,,
1_1144,1_1144_c_04,"Well, I've dated plenty of women.",LEONARD,BBT,,
1_1144,1_1144_c_05,"There was Joyce Kim, Leslie Winkle",LEONARD,BBT,,
1_1144,1_1144_u,"Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",SHELDON,BBT,1,PRO
1_11485,1_11485_c_00,"See, I've got, uh, my tea is at the perfect sipping temperature.",SHELDON,BBT,,
1_11485,1_11485_c_01,"Uh, I have fleece-lined boxer shorts to keep my tushie toasty.",SHELDON,BBT,,
1_11485,1_11485_c_02,"And then, oh, last but not least, this inspirational cat poster, improved with the reassuring face of physics renegade Richard Feynman.",SHELDON,BBT,,
1_11485,1_11485_u,Is that why you had to take him to Office Depot last night?,PENNY,BBT,0,NONE
1_11526,1_11526_c_00,"If I were going to Hawaii, I'd spend all my time at the Keck Observatory.
Did you know that the telescopes there have better resolution than the Hubble?",AMY,BBT,,
1_11526,1_11526_c_01,"Really?
Want to go to Hawaii?",PENNY,BBT,,
1_11526,1_11526_c_02,"Ladies?
Ladies...
Ladies?",SHELDON,BBT,,
1_11526,1_11526_c_03,Come in.,PENNY,BBT,,
1_11526,1_11526_c_04,Ladies.,SHELDON,BBT,,
1_11526,1_11526_c_05,What's up?,PENNY,BBT,,
1_11526,1_11526_u,"As you may know, I've been experimenting with elevated anxiety levels, and I thought, what better way to increase my discomfort than to subject myself to an evening of tasteless uncensored crotch talk?",SHELDON,BBT,0,NONE
1_11529,1_11529_c_00,What exactly do you think goes on here?,PENNY,BBT,,
1_11529,1_11529_c_01,"Well...
conversations that you wouldn't be comfortable having in front of the opposite sex.",SHELDON,BBT,,
1_11529,1_11529_c_02,"You know, who has the best cervix.",SHELDON,BBT,,
1_11529,1_11529_c_03,Which sanitary napkin is all the rage right now.,SHELDON,BBT,,
1_11529,1_11529_c_04,"Men's buttocks, and how you want to pat and squeeze them.",SHELDON,BBT,,
1_11529,1_11529_c_05,We were talking about Penny's job.,BERNADETTE,BBT,,
1_11529,1_11529_u,"And how difficult it is to do when she's bloated, cranky and crampy?",SHELDON,BBT,0,NONE
1_11609,1_11609_c_00,Do you really want him to write back?,LEONARD,BBT,,
1_11609,1_11609_c_01,"Yeah, I do. No matter how he responds, I am going to destroy him with a picture of a bored cat saying, ""Oh, really?""",SHELDON,BBT,,
1_11609,1_11609_c_02,Me-wow.,LEONARD,BBT,,
1_11609,1_11609_u,"I've, uh, created some other user accounts so I can post positive comments about their paper.",RAJ,BBT,0,NONE
1_11697,1_11697_c_00,Can you please just let it go?,BERNADETTE,BBT,,
1_11697,1_11697_c_01,"Oh, I can help you with that.",SHELDON,BBT,,
1_11697,1_11697_c_02,Imagine you're holding an ordinary pen.,SHELDON,BBT,,
1_11697,1_11697_c_03,While your favorite pen is safe and secure in your pocket.,SHELDON,BBT,,
1_11697,1_11697_c_04,Hold that thought.,HOWARD,BBT,,
1_11697,1_11697_c_05,Hello?,HOWARD,BBT,,
1_11697,1_11697_c_06,How can I make this up to you?,AMY,BBT,,
1_11697,1_11697_u,The answer's in this puzzle box. Let's see if you can open it.,PENNY,BBT,1,ILL
1_11699,1_11699_c_00,Hold that thought.,HOWARD,BBT,,
1_11699,1_11699_c_01,Hello?,HOWARD,BBT,,
1_11699,1_11699_c_02,How can I make this up to you?,AMY,BBT,,
1_11699,1_11699_c_03,"The answer's in this puzzle box. 
Let's see if you can open it.",PENNY,BBT,,
1_11699,1_11699_c_04,You could have at least warned him about the furniture.,BERNADETTE,BBT,,
1_11699,1_11699_c_05,That's what I said when we moved it.,RAJ,BBT,,
1_11699,1_11699_c_06,You helped him?!,BERNADETTE,BBT,,
1_11699,1_11699_u,"No, Stuart picked out those throw pillows all on his own.",RAJ,BBT,1,PRO
1_11723,1_11723_c_00,"Oh... then I choose a janitor.
'Cause I'm about to throw up.",AMY,BBT,,
1_11723,1_11723_c_01,"I'm in love.
Let's do something else.",LEONARD,BBT,,
1_11723,1_11723_c_02,"Ooh, uh, Emily gets off work soon.
Why don't the four of us go out?",RAJ,BBT,,
1_11723,1_11723_c_03,Okay. Sounds good.,AMY,BBT,,
1_11723,1_11723_c_04,Should we call Howard and Bernadette?,LEONARD,BBT,,
1_11723,1_11723_c_05,"I don't know what time their plane gets in, but let me, let me shoot them a text.",RAJ,BBT,,
1_11723,1_11723_c_06,Did he say anything about the funeral?,AMY,BBT,,
1_11723,1_11723_u,"Not much, but he seemed to be in a pretty good place.",RAJ,BBT,0,NONE
1_11736,1_11736_c_00,Mr. and Mrs. Wolowitz?,PERSON,BBT,,
1_11736,1_11736_c_01,"As far as I can tell, your bag arrived in Los Angeles.",PERSON,BBT,,
1_11736,1_11736_c_02,"So, where is it?",BERNADETTE,BBT,,
1_11736,1_11736_u,"I don't know, perhaps somebody took it off the carousel by mistake?",PERSON,BBT,0,NONE
1_11773,1_11773_c_00,we decided that the time was right to take a step forward.,AMY,BBT,,
1_11773,1_11773_c_01,Okay.,LEONARD,BBT,,
